Well_ID,Well,CV:595,OD595
BLK,A1,0.202,0.01
BLK,B1,0.213,0.022
BLK,C1,0.203,0.011
BLK,D1,0.213,0.022
BLK,E1,0.18,-0.012
BLK,F1,0.193,0.002
BLK,G1,0.166,-0.026
BLK,H1,0.189,-0.003
BLK,A2,0.198,0.006
BLK,B2,0.191,-0.001
BLK,C2,0.198,0.006
BLK,D2,0.2,0.008
BLK,E2,0.18,-0.012
BLK,F2,0.183,-0.008
BLK,G2,0.172,-0.02
BLK,H2,0.188,-0.004
SPL1,E3,2.138,1.946
SPL1,E4,1.929,1.737
SPL1,E5,2.176,1.985
SPL1,E6,2.177,1.985
SPL1,E7,2.103,1.911
SPL2,E8,1.803,1.612
SPL2,E9,2.101,1.91
SPL2,E10,2.076,1.885
SPL2,E11,1.978,1.786
SPL2,E12,1.968,1.776
SPL3,F3,0.413,0.221
SPL3,F4,0.327,0.135
SPL3,F5,0.403,0.212
SPL3,F6,0.403,0.211
SPL3,F7,0.395,0.204
SPL4,F8,1.901,1.709
SPL4,F9,2.027,1.836
SPL4,F10,1.952,1.76
SPL4,F11,1.978,1.786
SPL4,F12,1.832,1.64
SPL5,G3,0.173,-0.019
SPL5,G4,0.157,-0.035
SPL5,G5,0.17,-0.022
SPL5,G6,0.165,-0.027
SPL5,G7,0.166,-0.026
SPL6,G8,0.162,-0.029
SPL6,G9,0.176,-0.016
SPL6,G10,0.172,-0.02
SPL6,G11,0.169,-0.023
SPL6,G12,0.15,-0.042
SPL7,H3,0.199,0.007
SPL7,H4,0.194,0.002
SPL7,H5,0.186,-0.005
SPL7,H6,0.188,-0.004
SPL7,H7,0.181,-0.011
SPL8,H8,0.185,-0.006
SPL8,H9,0.19,-0.002
SPL8,H10,0.192,0
SPL8,H11,0.19,-0.002
SPL8,H12,0.188,-0.004
SPLC1,A3,0.311,0.119
SPLC1,A4,0.266,0.074
SPLC1,A5,0.319,0.127
SPLC1,A6,0.323,0.131
SPLC1,A7,0.329,0.137
SPLC2,A8,0.572,0.38
SPLC2,A9,0.62,0.428
SPLC2,A10,0.411,0.219
SPLC2,A11,0.41,0.218
SPLC2,A12,0.459,0.267
SPLC3,B3,0.25,0.058
SPLC3,B4,0.298,0.106
SPLC3,B5,0.367,0.176
SPLC3,B6,0.235,0.043
SPLC3,B7,0.297,0.105
SPLC4,B8,0.386,0.194
SPLC4,B9,0.364,0.172
SPLC4,B10,0.413,0.222
SPLC4,B11,0.419,0.227
SPLC4,B12,0.387,0.195
SPLC5,C3,0.19,-0.002
SPLC5,C4,0.184,-0.008
SPLC5,C5,0.185,-0.007
SPLC5,C6,0.179,-0.013
SPLC5,C7,0.18,-0.011
SPLC6,C8,0.169,-0.022
SPLC6,C9,0.174,-0.017
SPLC6,C10,0.175,-0.017
SPLC6,C11,0.174,-0.018
SPLC6,C12,0.186,-0.005
SPLC7,D3,0.191,-0.001
SPLC7,D4,0.192,0.001
SPLC7,D5,0.191,-0.001
SPLC7,D6,0.194,0.002
SPLC7,D7,0.199,0.007
SPLC8,D8,0.192,0
SPLC8,D9,0.193,0.001
SPLC8,D10,0.198,0.006
SPLC8,D11,0.186,-0.006
SPLC8,D12,0.183,-0.009
BLK,A1,0.195,0.001
BLK,B1,0.199,0.005
BLK,C1,0.189,-0.005
BLK,D1,0.184,-0.01
BLK,E1,0.186,-0.007
BLK,F1,0.204,0.011
BLK,G1,0.189,-0.004
BLK,H1,0.192,-0.001
BLK,A2,0.182,-0.011
BLK,B2,0.232,0.039
BLK,C2,0.188,-0.005
BLK,D2,0.189,-0.005
BLK,E2,0.184,-0.01
BLK,F2,0.204,0.011
BLK,G2,0.186,-0.007
BLK,H2,0.191,-0.002
SPL1,E3,2.398,2.205
SPL1,E4,2.541,2.347
SPL1,E5,2.442,2.249
SPL1,E6,2.52,2.327
SPL1,E7,2.55,2.357
SPL2,E8,1.901,1.707
SPL2,E9,1.952,1.758
SPL2,E10,1.868,1.675
SPL2,E11,1.91,1.716
SPL2,E12,1.729,1.536
SPL3,F3,0.796,0.603
SPL3,F4,0.837,0.644
SPL3,F5,0.857,0.663
SPL3,F6,0.792,0.599
SPL3,F7,0.888,0.695
SPL4,F8,2.458,2.264
SPL4,F9,2.291,2.098
SPL4,F10,2.304,2.111
SPL4,F11,2.277,2.084
SPL4,F12,2.302,2.109
SPL5,G3,0.184,-0.009
SPL5,G4,0.183,-0.01
SPL5,G5,0.182,-0.011
SPL5,G6,0.176,-0.017
SPL5,G7,0.188,-0.005
SPL6,G8,0.211,0.017
SPL6,G9,0.202,0.009
SPL6,G10,0.197,0.004
SPL6,G11,0.188,-0.005
SPL6,G12,0.21,0.017
SPL7,H3,0.175,-0.019
SPL7,H4,0.205,0.012
SPL7,H5,0.174,-0.019
SPL7,H6,0.171,-0.023
SPL7,H7,0.182,-0.011
SPL8,H8,0.224,0.03
SPL8,H9,0.175,-0.018
SPL8,H10,0.189,-0.005
SPL8,H11,0.193,0
