Well_ID,Well,CV:595,OD595,Strain,Condition
SPL1,E3,2.466,2.281,P.k_WT,TSB
SPL1,E4,2.435,2.25,P.k_WT,TSB
SPL1,E5,2.571,2.386,P.k_WT,TSB
SPL1,E6,2.514,2.328,P.k_WT,TSB
SPL1,E7,2.325,2.14,P.k_WT,TSB
SPL3,F3,0.962,0.777,P12C2,TSB
SPL3,F4,0.469,0.284,P12C2,TSB
SPL3,F5,0.5,0.315,P12C2,TSB
SPL3,F6,0.472,0.287,P12C2,TSB
SPL3,F7,0.337,0.152,P12C2,TSB
SPL5,G3,0.55,0.365,P11A3,TSB
SPL5,G4,0.439,0.253,P11A3,TSB
SPL5,G5,0.413,0.228,P11A3,TSB
SPL5,G6,0.345,0.16,P11A3,TSB
SPL5,G7,0.357,0.172,P11A3,TSB
SPLC1,A3,0.417,0.232,P.k_WT,Tet
SPLC1,A4,0.339,0.153,P.k_WT,Tet
SPLC1,A5,0.405,0.22,P.k_WT,Tet
SPLC1,A6,0.373,0.188,P.k_WT,Tet
SPLC1,A7,0.4,0.214,P.k_WT,Tet
SPLC3,B3,0.264,0.079,P12C2,Tet
SPLC3,B4,0.234,0.049,P12C2,Tet
SPLC3,B5,0.251,0.066,P12C2,Tet
SPLC3,B6,0.229,0.044,P12C2,Tet
SPLC3,B7,0.204,0.019,P12C2,Tet
SPLC5,C3,0.29,0.105,P11A3,Tet
SPLC5,C4,0.292,0.107,P11A3,Tet
SPLC5,C5,0.217,0.032,P11A3,Tet
SPLC5,C6,0.276,0.091,P11A3,Tet
SPLC5,C7,0.228,0.043,P11A3,Tet
SPL1,E3,2.641,2.454,P.k_WT,TSB
SPL1,E4,2.312,2.125,P.k_WT,TSB
SPL1,E5,2.284,2.097,P.k_WT,TSB
SPL1,E6,2.287,2.1,P.k_WT,TSB
SPL1,E7,2.301,2.114,P.k_WT,TSB
SPL2,E8,1.711,1.524,P8A10,TSB
SPL2,E9,1.838,1.651,P8A10,TSB
SPL2,E10,1.901,1.714,P8A10,TSB
SPL2,E11,1.812,1.625,P8A10,TSB
SPL2,E12,1.875,1.687,P8A10,TSB
SPL4,F8,0.26,0.073,P8G4,TSB
SPL4,F9,0.26,0.073,P8G4,TSB
SPL4,F10,0.26,0.073,P8G4,TSB
SPL4,F11,0.267,0.08,P8G4,TSB
SPL4,F12,0.261,0.074,P8G4,TSB
SPLC1,A3,0.422,0.235,P.k_WT,Tet
SPLC1,A4,0.445,0.257,P.k_WT,Tet
SPLC1,A5,0.516,0.329,P.k_WT,Tet
SPLC1,A6,0.514,0.327,P.k_WT,Tet
SPLC1,A7,0.436,0.249,P.k_WT,Tet
SPLC2,A8,1.064,0.877,P8A10,Tet
SPLC2,A9,1.114,0.927,P8A10,Tet
SPLC2,A10,1.191,1.004,P8A10,Tet
SPLC2,A11,1.005,0.818,P8A10,Tet
SPLC2,A12,1.148,0.961,P8A10,Tet
SPLC4,B8,0.346,0.159,P8G4,Tet
SPLC4,B9,0.323,0.136,P8G4,Tet
SPLC4,B10,0.414,0.227,P8G4,Tet
SPLC4,B11,0.438,0.251,P8G4,Tet
SPLC4,B12,0.389,0.202,P8G4,Tet
SPL1,E3,2.699,2.455,P.k_WT,TSB
SPL1,E4,2.721,2.477,P.k_WT,TSB
SPL1,E5,2.791,2.547,P.k_WT,TSB
SPL1,E6,2.655,2.411,P.k_WT,TSB
SPL1,E7,2.584,2.34,P.k_WT,TSB
SPL2,E8,0.695,0.45,P9G4,TSB
SPL2,E9,0.579,0.335,P9G4,TSB
SPL2,E10,0.586,0.342,P9G4,TSB
SPL2,E11,0.46,0.216,P9G4,TSB
SPL2,E12,0.295,0.051,P9G4,TSB
SPL3,F3,0.896,0.651,P11A3,TSB
SPL3,F4,0.956,0.711,P11A3,TSB
SPL3,F5,0.979,0.734,P11A3,TSB
SPL3,F6,0.821,0.576,P11A3,TSB
SPL3,F7,0.772,0.528,P11A3,TSB
SPL4,F8,0.87,0.626,P12C2,TSB
SPL4,F9,1.052,0.808,P12C2,TSB
SPL4,F10,0.764,0.52,P12C2,TSB
SPL4,F11,0.671,0.427,P12C2,TSB
SPL4,F12,0.289,0.045,P12C2,TSB
SPL5,G3,2.093,1.849,P8A10,TSB
SPL5,G4,2.168,1.923,P8A10,TSB
SPL5,G5,2.204,1.959,P8A10,TSB
SPL5,G6,2.087,1.843,P8A10,TSB
SPL5,G7,2.041,1.796,P8A10,TSB
SPLC1,A3,0.389,0.145,P.k_WT,Tet
SPLC1,A4,0.326,0.081,P.k_WT,Tet
SPLC1,A5,0.456,0.211,P.k_WT,Tet
SPLC1,A6,0.32,0.075,P.k_WT,Tet
SPLC1,A7,0.317,0.072,P.k_WT,Tet
SPLC2,A8,0.385,0.14,P9G4,Tet
SPLC2,A9,0.38,0.136,P9G4,Tet
SPLC2,A10,0.417,0.173,P9G4,Tet
SPLC2,A11,0.452,0.208,P9G4,Tet
SPLC2,A12,0.394,0.149,P9G4,Tet
SPLC3,B3,0.248,0.004,P11A3,Tet
SPLC3,B4,0.333,0.088,P11A3,Tet
SPLC3,B5,0.263,0.019,P11A3,Tet
SPLC3,B6,0.311,0.066,P11A3,Tet
SPLC3,B7,0.23,-0.014,P11A3,Tet
SPLC4,B8,0.318,0.074,P12C2,Tet
SPLC4,B9,0.329,0.085,P12C2,Tet
SPLC4,B10,0.348,0.104,P12C2,Tet
