Well_ID,Well,CV:595,OD595
BLK,A1,0.188,0.001
,B1,0.173,-0.014
,C1,0.196,0.009
,D1,0.191,0.004
,E1,0.185,-0.002
,F1,0.189,0.002
,G1,0.176,-0.011
,H1,0.185,-0.002
,A2,0.185,-0.002
,B2,0.188,0.001
,C2,0.188,0.001
,D2,0.2,0.013
,E2,0.187,0
,F2,0.181,-0.006
,G2,0.188,0.001
,H2,0.195,0.007
SPL1,E3,2.641,2.454
SPL1,E4,2.312,2.125
SPL1,E5,2.284,2.097
SPL1,E6,2.287,2.1
SPL1,E7,2.301,2.114
SPL2,E8,1.711,1.524
SPL2,E9,1.838,1.651
SPL2,E10,1.901,1.714
SPL2,E11,1.812,1.625
SPL2,E12,1.875,1.687
SPL3,F3,1.04,0.852
SPL3,F4,0.962,0.775
SPL3,F5,0.955,0.768
SPL3,F6,1.065,0.878
SPL3,F7,1.037,0.85
SPL4,F8,0.26,0.073
SPL4,F9,0.26,0.073
SPL4,F10,0.26,0.073
SPL4,F11,0.267,0.08
SPL4,F12,0.261,0.074
SPL5,G3,2.078,1.891
SPL5,G4,2.563,2.376
SPL5,G5,2.644,2.457
SPL5,G6,2.38,2.193
SPL5,G7,2.437,2.25
SPL6,G8,0.236,0.049
SPL6,G9,0.224,0.037
SPL6,G10,0.242,0.055
SPL6,G11,0.28,0.093
SPL6,G12,0.294,0.107
SPL7,H3,0.21,0.023
SPL7,H4,0.204,0.017
SPL7,H5,0.214,0.027
SPL7,H6,0.211,0.024
SPL7,H7,0.207,0.02
SPL8,H8,0.206,0.019
SPL8,H9,0.199,0.012
SPL8,H10,0.209,0.022
SPL8,H11,0.197,0.01
SPL8,H12,0.202,0.014
SPLC1,A3,0.422,0.235
SPLC1,A4,0.445,0.257
SPLC1,A5,0.516,0.329
SPLC1,A6,0.514,0.327
SPLC1,A7,0.436,0.249
SPLC2,A8,1.064,0.877
SPLC2,A9,1.114,0.927
SPLC2,A10,1.191,1.004
SPLC2,A11,1.005,0.818
SPLC2,A12,1.148,0.961
SPLC3,B3,0.306,0.119
SPLC3,B4,0.359,0.172
SPLC3,B5,0.402,0.214
SPLC3,B6,0.313,0.125
SPLC3,B7,0.347,0.16
SPLC4,B8,0.346,0.159
SPLC4,B9,0.323,0.136
SPLC4,B10,0.414,0.227
SPLC4,B11,0.438,0.251
SPLC4,B12,0.389,0.202
SPLC5,C3,0.34,0.153
SPLC5,C4,0.344,0.157
SPLC5,C5,0.399,0.211
SPLC5,C6,0.345,0.158
SPLC5,C7,0.345,0.158
SPLC6,C8,0.229,0.041
SPLC6,C9,0.236,0.049
SPLC6,C10,0.236,0.049
SPLC6,C11,0.254,0.067
SPLC6,C12,0.216,0.029
SPLC7,D3,0.245,0.058
SPLC7,D4,0.218,0.031
SPLC7,D5,0.207,0.02
SPLC7,D6,0.205,0.018
SPLC7,D7,0.212,0.025
SPLC8,D8,0.204,0.017
SPLC8,D9,0.205,0.018
SPLC8,D10,0.205,0.018
SPLC8,D11,0.22,0.033
SPLC8,D12,0.209,0.022
